Date,Interval,Calls,day_of_week,#_day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year,dataNorm,dataNorm2,first_diff,first_diff2
2016-10-25,4282,4904,Tuesday,1,92,23.0,213,10,2016,0.8887277999275099,0.5127495367862324,-0.034070315331641954,-0.15940156466159827
2016-10-26,4538,4880,Wednesday,2,93,23.25,209,10,2016,0.8843783979702791,0.49918874583689393,-0.004349401957230881,-0.01356079094933843
2016-10-27,4560,4887,Thursday,3,96,24.0,203,10,2016,0.8856469735411381,0.4969915519578955,0.0012685755708590207,-0.002197193878998416
2016-10-28,4560,5480,Friday,4,96,24.0,228,10,2016,0.9931134469010511,0.8745064050097694,0.107466473359913,0.3775148530518739
2016-10-29,4560,3515,Saturday,5,96,24.0,146,10,2016,0.6370061616527728,-0.6541365378885647,-0.3561072852482783,-1.5286429428983341
2016-10-30,4538,1986,Sunday,6,92,23.0,86,10,2016,0.3599130119608554,-1.9670033675467944,-0.2770931496919174,-1.3128668296582298
2016-10-31,4533,5328,Monday,0,93,23.25,229,10,2016,0.9655672345052555,0.7225935215603368,0.6056542225444002,2.6895968891071314
2016-11-01,4547,5210,Tuesday,1,95,23.75,219,11,2016,0.9441826748822036,0.5816046324340998,-0.021384559623051858,-0.14098888912623708
2016-11-02,4465,5001,Wednesday,2,95,23.75,210,11,2016,0.9063066328379847,0.40158886885170414,-0.037876042044218905,-0.18001576358239563
2016-11-03,4556,5199,Thursday,3,95,23.75,218,11,2016,0.9421891989851395,0.5127861879502054,0.03588256614715479,0.11119731909850122
2016-11-04,4560,5663,Friday,4,96,24.0,235,11,2016,1.0262776368249367,0.8337827013833125,0.08408843783979714,0.3209965134331071
2016-11-05,4560,3162,Saturday,5,96,24.0,131,11,2016,0.5730337078651685,-0.9761101669937768,-0.45324392895976817,-1.8098928683770894
2016-11-06,4469,2154,Sunday,6,95,23.75,90,11,2016,0.39035882566147156,-1.7909606750844034,-0.18267488220369693,-0.8148505080906265
2016-11-07,4465,5248,Monday,0,95,23.75,220,11,2016,0.9510692279811526,0.5520338174480331,0.560710402319681,2.3429944925324366
2016-11-08,4542,5035,Tuesday,1,93,23.25,216,11,2016,0.9124682856107286,0.41384814211182447,-0.038600942370423996,-0.13818567533620868
2016-11-09,4538,4967,Wednesday,2,94,23.5,211,11,2016,0.900144980065241,0.3660936030130324,-0.01232330554548755,-0.04775453909879207
