Date,Interval,Calls,#_day_of_week,day_of_week,Month,Year
2017-10-15 02:00:00,18,0,6,Sunday,10,2017
2017-10-15 03:00:00,26,0,6,Sunday,10,2017
2017-10-15 04:00:00,34,0,6,Sunday,10,2017
2017-10-15 05:00:00,42,0,6,Sunday,10,2017
2017-10-15 06:00:00,50,0,6,Sunday,10,2017
2017-10-15 07:00:00,58,0,6,Sunday,10,2017
2017-10-15 08:00:00,66,0,6,Sunday,10,2017
2017-10-15 09:00:00,74,0,6,Sunday,10,2017
2017-10-15 10:00:00,82,0,6,Sunday,10,2017
2017-10-15 11:00:00,90,0,6,Sunday,10,2017
2017-10-15 12:00:00,98,0,6,Sunday,10,2017
2017-10-15 13:00:00,106,0,6,Sunday,10,2017
2017-10-15 14:00:00,114,0,6,Sunday,10,2017
2017-10-15 15:00:00,122,0,6,Sunday,10,2017
2017-10-15 16:00:00,130,0,6,Sunday,10,2017
2017-10-15 17:00:00,138,0,6,Sunday,10,2017
2017-10-15 18:00:00,146,0,6,Sunday,10,2017
2017-10-15 19:00:00,154,0,6,Sunday,10,2017
2017-10-15 20:00:00,162,0,6,Sunday,10,2017
2017-10-15 21:00:00,170,0,6,Sunday,10,2017
2017-10-15 22:00:00,178,0,6,Sunday,10,2017
2017-10-15 23:00:00,186,0,6,Sunday,10,2017
2017-10-16 00:00:00,2,0,0,Monday,10,2017
2017-10-16 01:00:00,10,0,0,Monday,10,2017
2017-10-16 02:00:00,18,0,0,Monday,10,2017
2017-10-16 03:00:00,26,0,0,Monday,10,2017
2017-10-16 04:00:00,34,0,0,Monday,10,2017
2017-10-16 05:00:00,42,0,0,Monday,10,2017
2017-10-16 06:00:00,50,50,0,Monday,10,2017
2017-10-16 07:00:00,58,59,0,Monday,10,2017
2017-10-16 08:00:00,66,57,0,Monday,10,2017
2017-10-16 09:00:00,74,56,0,Monday,10,2017
2017-10-16 10:00:00,82,43,0,Monday,10,2017
2017-10-16 11:00:00,90,58,0,Monday,10,2017
2017-10-16 12:00:00,98,49,0,Monday,10,2017
2017-10-16 13:00:00,106,44,0,Monday,10,2017
2017-10-16 14:00:00,114,51,0,Monday,10,2017
2017-10-16 15:00:00,122,1,0,Monday,10,2017
2017-10-16 16:00:00,130,0,0,Monday,10,2017
2017-10-16 17:00:00,138,0,0,Monday,10,2017
2017-10-16 18:00:00,146,0,0,Monday,10,2017
2017-10-16 19:00:00,154,0,0,Monday,10,2017
2017-10-16 20:00:00,162,0,0,Monday,10,2017
2017-10-16 21:00:00,170,0,0,Monday,10,2017
2017-10-16 22:00:00,178,0,0,Monday,10,2017
2017-10-16 23:00:00,186,0,0,Monday,10,2017
2017-10-17 00:00:00,2,0,1,Tuesday,10,2017
2017-10-17 01:00:00,10,0,1,Tuesday,10,2017
2017-10-17 02:00:00,18,0,1,Tuesday,10,2017
2017-10-17 03:00:00,26,0,1,Tuesday,10,2017
2017-10-17 04:00:00,34,0,1,Tuesday,10,2017
2017-10-17 05:00:00,42,0,1,Tuesday,10,2017
2017-10-17 06:00:00,50,27,1,Tuesday,10,2017
2017-10-17 07:00:00,58,46,1,Tuesday,10,2017
2017-10-17 08:00:00,66,51,1,Tuesday,10,2017
2017-10-17 09:00:00,74,53,1,Tuesday,10,2017
2017-10-17 10:00:00,82,35,1,Tuesday,10,2017
2017-10-17 11:00:00,90,41,1,Tuesday,10,2017
2017-10-17 12:00:00,98,28,1,Tuesday,10,2017
2017-10-17 13:00:00,106,34,1,Tuesday,10,2017
2017-10-17 14:00:00,114,32,1,Tuesday,10,2017
2017-10-17 15:00:00,122,0,1,Tuesday,10,2017
2017-10-17 16:00:00,130,0,1,Tuesday,10,2017
2017-10-17 17:00:00,138,0,1,Tuesday,10,2017
2017-10-17 18:00:00,146,0,1,Tuesday,10,2017
2017-10-17 19:00:00,154,0,1,Tuesday,10,2017
2017-10-17 20:00:00,162,0,1,Tuesday,10,2017
2017-10-17 21:00:00,170,0,1,Tuesday,10,2017
2017-10-17 22:00:00,178,0,1,Tuesday,10,2017
2017-10-17 23:00:00,186,0,1,Tuesday,10,2017
2017-10-18 00:00:00,2,0,2,Wednesday,10,2017
2017-10-18 01:00:00,11,0,2,Wednesday,10,2017
2017-10-18 02:00:00,18,0,2,Wednesday,10,2017
2017-10-18 03:00:00,26,0,2,Wednesday,10,2017
2017-10-18 04:00:00,34,0,2,Wednesday,10,2017
2017-10-18 05:00:00,42,0,2,Wednesday,10,2017
2017-10-18 06:00:00,50,0,2,Wednesday,10,2017
2017-10-18 07:00:00,58,33,2,Wednesday,10,2017
2017-10-18 08:00:00,66,40,2,Wednesday,10,2017
2017-10-18 09:00:00,74,52,2,Wednesday,10,2017
2017-10-18 10:00:00,82,27,2,Wednesday,10,2017
2017-10-18 11:00:00,90,36,2,Wednesday,10,2017
2017-10-18 12:00:00,98,27,2,Wednesday,10,2017
2017-10-18 13:00:00,106,36,2,Wednesday,10,2017
2017-10-18 14:00:00,114,29,2,Wednesday,10,2017
2017-10-18 15:00:00,122,1,2,Wednesday,10,2017
2017-10-18 16:00:00,130,0,2,Wednesday,10,2017
2017-10-18 17:00:00,138,0,2,Wednesday,10,2017
2017-10-18 18:00:00,146,0,2,Wednesday,10,2017
2017-10-18 19:00:00,154,0,2,Wednesday,10,2017
2017-10-18 20:00:00,162,0,2,Wednesday,10,2017
2017-10-18 21:00:00,170,0,2,Wednesday,10,2017
2017-10-18 22:00:00,178,0,2,Wednesday,10,2017
2017-10-18 23:00:00,186,0,2,Wednesday,10,2017
2017-10-19 00:00:00,2,0,3,Thursday,10,2017
2017-10-19 01:00:00,10,0,3,Thursday,10,2017
2017-10-19 02:00:00,18,0,3,Thursday,10,2017
2017-10-19 03:00:00,26,0,3,Thursday,10,2017
2017-10-19 04:00:00,34,0,3,Thursday,10,2017
2017-10-19 05:00:00,42,0,3,Thursday,10,2017
2017-10-19 06:00:00,50,24,3,Thursday,10,2017
2017-10-19 07:00:00,58,46,3,Thursday,10,2017
2017-10-19 08:00:00,66,41,3,Thursday,10,2017
2017-10-19 09:00:00,74,50,3,Thursday,10,2017
2017-10-19 10:00:00,82,24,3,Thursday,10,2017
2017-10-19 11:00:00,90,40,3,Thursday,10,2017
2017-10-19 12:00:00,98,33,3,Thursday,10,2017
2017-10-19 13:00:00,106,31,3,Thursday,10,2017
2017-10-19 14:00:00,114,30,3,Thursday,10,2017
2017-10-19 15:00:00,122,2,3,Thursday,10,2017
2017-10-19 16:00:00,130,0,3,Thursday,10,2017
2017-10-19 17:00:00,138,0,3,Thursday,10,2017
2017-10-19 18:00:00,146,0,3,Thursday,10,2017
2017-10-19 19:00:00,154,0,3,Thursday,10,2017
2017-10-19 20:00:00,162,0,3,Thursday,10,2017
2017-10-19 21:00:00,170,0,3,Thursday,10,2017
2017-10-19 22:00:00,178,0,3,Thursday,10,2017
